City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Umm Kaddadah,SD,13.60,26.69,104.31,6,29,18.59,scattered clouds
82,Rio Claro,BR,-22.41,-47.56,72.72,61,95,5.88,overcast clouds
83,Cape Town,ZA,-33.93,18.42,66.34,68,12,5.99,few clouds
84,Mersing,MY,2.43,103.84,80.51,94,20,2.3,few clouds
85,Pocone,BR,-16.26,-56.62,88.83,34,64,2.21,broken clouds
86,Longyearbyen,SJ,78.22,15.64,24.64,54,0,2.3,clear sky
87,Lexington Park,US,38.27,-76.45,65.64,49,40,16.11,scattered clouds
88,Finote Selam,ET,10.70,37.27,82.9,28,66,5.73,broken clouds
89,Iqaluit,CA,63.75,-68.51,28.13,63,100,17.27,light snow
90,Agadez,NE,19.75,10.25,102.94,11,0,10.98,clear sky
91,Nanortalik,GL,60.14,-45.24,34.92,91,100,14.05,overcast clouds
92,Esmeraldas,BR,-19.76,-44.31,80.71,38,26,5.01,scattered clouds
93,Aksha,RU,50.28,113.29,38.1,39,100,11.72,overcast clouds
94,Constitucion,CL,-35.33,-72.42,61.7,54,95,6.55,overcast clouds
95,East London,ZA,-33.02,27.91,67.14,68,0,17.27,clear sky
96,Bodrum,TR,37.04,27.43,72.88,63,0,10.89,clear sky
97,Sao Joao Da Barra,BR,-21.64,-41.05,80.69,58,10,8.23,clear sky
98,Pisco,PE,-13.70,-76.22,66.25,77,10,4.61,clear sky
99,Galle,LK,6.04,80.22,81.61,85,23,15.66,few clouds
100,Los Llanos De Aridane,ES,28.66,-17.92,67.75,78,75,7.0,broken clouds
101,Belmonte,BR,-15.86,-38.88,82.17,60,33,5.97,scattered clouds
102,Fortuna,US,40.60,-124.16,49.93,94,100,3.44,overcast clouds
103,Natchez,US,31.56,-91.40,85.44,62,75,3.44,broken clouds
104,Sungairaya,ID,0.70,108.90,81.41,78,97,2.01,overcast clouds
105,Marzuq,YE,14.40,46.47,86.68,24,1,6.6,clear sky
106,Avera,US,33.19,-82.53,74.71,39,0,11.23,clear sky
107,Abha,SA,18.22,42.51,76.82,53,20,10.36,few clouds
108,Dandong,CN,40.13,124.39,53.53,81,100,1.14,overcast clouds
109,Yellowknife,CA,62.46,-114.35,32.52,74,75,3.44,broken clouds
110,Mogok,MM,22.92,96.50,65.19,96,93,3.04,overcast clouds
111,Gashua,NG,12.87,11.05,106.54,16,30,2.33,scattered clouds
112,Joensuu,FI,62.60,29.76,52.29,71,75,12.66,broken clouds
113,Pimentel,PE,-6.84,-79.93,71.89,64,0,12.66,clear sky
114,Kuzhener,RU,56.81,48.91,39.92,95,100,14.03,light rain
115,Yulara,AU,-25.24,130.99,57.04,30,5,8.05,clear sky
116,Hamilton,US,39.18,-84.53,81.9,52,75,3.44,broken clouds
117,Izhma,RU,65.01,53.91,53.49,56,2,2.24,clear sky
118,Avarua,CK,-21.21,-159.78,78.85,89,75,9.22,broken clouds
119,Chuy,UY,-33.70,-53.46,64.8,62,55,15.84,broken clouds
120,Leh,IN,34.17,77.58,55.22,30,14,7.29,few clouds
121,Cabo San Lucas,MX,22.89,-109.91,82.62,77,0,2.3,clear sky
122,Faya,SA,18.39,42.45,77.11,51,57,11.03,broken clouds
123,Ribeira Grande,PT,38.52,-28.70,64.8,55,20,17.27,few clouds
124,Nemuro,JP,43.32,145.57,44.82,98,40,12.15,scattered clouds
125,Barrow,US,71.29,-156.79,30.22,86,100,16.11,light snow
126,Den Helder,NL,52.96,4.76,59.02,79,100,21.0,overcast clouds
127,Taua,BR,-5.97,-40.30,90.43,37,36,5.14,scattered clouds
128,Eureka,US,40.80,-124.16,50.2,74,60,1.99,broken clouds
129,Bredasdorp,ZA,-34.53,20.04,62.89,57,1,12.71,clear sky
130,Khatanga,RU,71.97,102.50,27.18,90,100,20.33,overcast clouds
131,Shingu,JP,33.73,135.98,64.87,91,100,5.77,overcast clouds
132,Huilong,CN,31.81,121.66,64.92,91,100,8.39,overcast clouds
133,Husavik,IS,66.04,-17.34,33.31,95,100,8.77,light snow
134,Comodoro Rivadavia,AR,-45.87,-67.50,57.06,54,0,10.36,clear sky
135,Athni,IN,16.73,75.07,80.71,67,100,25.95,overcast clouds
136,Esperance,AU,-33.87,121.90,68.74,35,100,14.23,overcast clouds
137,Ilulissat,GL,69.22,-51.10,26.62,39,0,6.91,clear sky
138,San Carlos De Bariloche,AR,-41.15,-71.31,46.15,46,75,0.0,broken clouds
139,Paamiut,GL,61.99,-49.67,34.41,95,100,22.12,overcast clouds
140,Aljezur,PT,37.32,-8.80,74.64,41,100,3.96,overcast clouds
141,Staryy Nadym,RU,65.61,72.68,36.39,98,100,2.26,overcast clouds
142,Majene,ID,-3.54,118.97,80.15,86,100,4.81,overcast clouds
143,Mnogovershinnyy,RU,53.94,139.92,34.81,91,100,4.43,overcast clouds
144,Kaitangata,NZ,-46.28,169.85,45.05,87,23,7.9,few clouds
145,Carnarvon,AU,-24.87,113.63,71.67,83,75,3.44,broken clouds
146,Thompson,CA,55.74,-97.86,46.56,93,75,6.91,broken clouds
147,Ust-Barguzin,RU,53.45,108.98,28.15,75,38,0.69,scattered clouds
148,Stephenville,US,32.22,-98.20,80.17,71,40,13.8,scattered clouds
149,Luderitz,NA,-26.65,15.16,66.43,53,0,16.46,clear sky
150,Kristiinankaupunki,FI,62.27,21.38,47.07,78,13,10.69,few clouds
151,Trelew,AR,-43.25,-65.31,55.44,57,91,14.92,overcast clouds
