City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Faanui,PF,80.64,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
269,Bima,ID,76.17,overcast clouds,-8.47,118.72,Lambitu Hotel
275,Cap Malheureux,MU,75.47,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
276,Peniche,PT,78.08,overcast clouds,39.36,-9.38,Hotel Star inn Peniche
277,Koprivnica,HR,82.29,few clouds,46.16,16.83,Podravina
281,Saint-Francois,FR,87.67,clear sky,46.42,3.91,Manoir Du Bonheur
286,Dingle,PH,79.27,overcast clouds,11.0,122.67,SEGAYA PROPERTY
299,Muisne,EC,77.85,overcast clouds,0.6,-80.03,Quinta Samay
301,Puerto Escondido,MX,88.63,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
302,Meadow Lake,US,76.42,clear sky,34.8,-106.54,TumbleWeed RV Park
305,San Patricio,US,86.07,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
306,Barra Do Garcas,BR,84.78,clear sky,-15.89,-52.26,Pousada Tropical
308,Victoria,HK,80.65,overcast clouds,22.29,114.16,Mini Central
309,Martapura,ID,80.69,light rain,-3.42,114.85,Montana Hotel Syariah
313,Inyonga,TZ,76.41,broken clouds,-6.72,32.07,Eden Rock Lodge
315,Itambe,BR,86.85,broken clouds,-15.24,-40.62,Pousada Tropical
319,Saint-Joseph,RE,77.38,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
320,Kloulklubed,PW,75.7,overcast clouds,7.04,134.26,Storyboard Beach Resort
322,Coahuayana,MX,85.66,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
324,Cabinda,AO,84.34,few clouds,-5.55,12.2,Hotel Maiombe
327,Aloleng,PH,83.68,clear sky,16.13,119.78,Steve Walden and Emma Sison-Walden Residence
328,Salalah,OM,89.69,clear sky,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
329,Kokopo,PG,77.72,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
333,Korla,CN,76.32,overcast clouds,41.76,86.15,Gulisitan Hotel
337,Butler,US,81.21,broken clouds,39.45,-84.57,The Lodge Activity Center
338,Bolobo,CD,75.96,moderate rain,-2.17,16.23,Hotel de Stephen
340,Cumanayagua,CU,83.95,clear sky,22.15,-80.2,Hostal Los Filtros
344,Touros,BR,83.79,overcast clouds,-5.2,-35.46,INN NEW HORIZON
346,Gunjur,GM,84.27,clear sky,13.2,-16.73,Jallo Kurundingoto Eco Tourist Camp
348,Camopi,GF,79.11,light rain,3.17,-52.32,La pousada
352,Sitges,ES,81.72,few clouds,41.24,1.81,URH Sitges Playa
354,Umm Lajj,SA,82.83,clear sky,25.02,37.27,Moon light Furnished Units
357,Sijunjung,ID,75.58,broken clouds,-0.69,100.95,Hotel Bukik Gadang
358,Rimavska Sobota,SK,77.0,broken clouds,48.38,20.02,Hotel Golden Bull
360,Aden,YE,85.6,clear sky,12.78,45.04,Sama Emirate Hotel
363,Carutapera,BR,81.95,broken clouds,-1.2,-46.02,Lidera
364,Kinablangan,PH,77.29,light rain,7.69,126.55,Morales Eatery and Lodging House
365,Hambantota,LK,82.74,few clouds,6.12,81.12,Bungalow 63
366,Dhidhdhoo,MV,84.74,overcast clouds,6.88,73.1,Dhidhoo beach
371,Bathsheba,BB,86.61,few clouds,13.22,-59.52,Atlantis Hotel
373,Bubaque,GW,77.65,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
375,Robertsport,LR,84.06,few clouds,6.75,-11.37,Kwepunha Retreat
379,La Cruz,MX,80.22,broken clouds,23.92,-106.9,Hotel Suites HCs
380,Fiumicino,IT,78.96,clear sky,41.77,12.23,Al Porticciolo Hotel
384,Lazaro Cardenas,MX,86.7,few clouds,17.96,-102.2,HOTEL QUINTA ANTIGUA
389,Buala,SB,80.53,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
392,Lasa,IT,75.69,broken clouds,46.62,10.7,Pension Feldgärtenhof
393,Tamalameque,CO,75.15,overcast clouds,8.85,-73.81,Casa Tía Icha
394,Kresek,ID,83.1,overcast clouds,-6.13,106.38,Kamar aldi
401,Bridgetown,BB,86.49,few clouds,13.1,-59.62,Hilton Barbados Resort
403,Hit,IQ,84.94,broken clouds,33.64,42.83,حاتم
406,Loa Janan,ID,76.01,broken clouds,-0.58,117.09,Rumah kecil
410,Auki,SB,77.52,overcast clouds,-8.77,160.7,Auki Motel
413,Sabha,LY,89.51,scattered clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
414,Quibdo,CO,82.74,scattered clouds,5.69,-76.66,Hotel Angeles
415,Muborak,UZ,78.75,clear sky,39.26,65.15,Muborak temiryoʻl vakzali
419,Sulangan,PH,82.36,broken clouds,11.14,123.72,Maia's Beach Resort
425,Elat,IL,89.44,haze,29.56,34.95,Club Hotel Eilat
432,Puerto Colombia,CO,82.49,overcast clouds,10.99,-74.95,Hotel El Emigrante
439,Iguape,BR,80.11,broken clouds,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
440,Goalpara,IN,78.49,few clouds,26.17,90.62,Hotel Moon Moon
441,Muros,ES,75.69,overcast clouds,42.78,-9.06,Apartment Av. Castelao
446,San Jose De Rio Tinto,HN,88.68,broken clouds,14.93,-85.7,PARQUE ECOTURISTICO QUILIZ
457,Upington,ZA,77.38,clear sky,-28.45,21.26,River Place Manor
458,Aranda De Duero,ES,80.17,broken clouds,41.67,-3.69,Hotel Villa de Aranda
460,Vila Do Maio,CV,86.79,scattered clouds,15.13,-23.22,Hotel Marilu
462,Guanica,PR,88.97,overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
463,Ambanja,MG,80.53,clear sky,-13.68,48.45,Hotel Marrakech
464,Cayenne,GF,84.09,broken clouds,4.93,-52.33,Hôtel Le Dronmi
468,Great Bend,US,81.03,clear sky,38.36,-98.76,Best Western Angus Inn
469,Saint-Leu,RE,77.86,few clouds,-21.15,55.28,La Caz Oceane
470,Evanston,US,87.96,broken clouds,42.04,-87.69,Hilton Orrington/Evanston
479,Udankudi,IN,84.87,broken clouds,8.43,78.02,"SRI ANANDHI TRADERS,UDANGUDI"
484,Chaman,PK,80.31,clear sky,30.92,66.45,FC Officers Mess Chaman
487,Iquitos,PE,82.44,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
490,La Romana,DO,82.76,broken clouds,18.43,-68.97,Casa de Campo Resort and Villas
491,Manzanillo,CU,85.26,scattered clouds,20.34,-77.12,Adrian & Tonia
495,Buchanan,LR,85.14,light rain,5.88,-10.05,Kamaneahn Hotel Inc
497,Mayumba,GA,80.06,overcast clouds,-3.43,10.66,LIKWALE LODGE
498,Fort Dodge,US,82.53,haze,42.5,-94.17,"Country Inn & Suites by Radisson, Fort Dodge, IA"
502,Caracoli,CO,79.29,overcast clouds,6.41,-74.76,EcoHostel Caracolí
506,Matara,LK,79.9,few clouds,5.95,80.54,Amaloh Boutique Resort
509,Lang Son,VN,75.24,overcast clouds,21.83,106.73,Khai Nga Hotel
510,Dicabisagan,PH,80.06,few clouds,17.08,122.42,Nancy Montanes Bernardo
526,Missao Velha,BR,86.49,broken clouds,-7.25,-39.14,Pousada Sol Nascente PRIME
527,Kemise,ET,78.98,scattered clouds,10.72,39.87,Mo miftah
532,Moerai,PF,79.79,clear sky,-22.43,-151.33,Le Manotel
